region,country,state_province,city,address,full_address,location,latitude,longitude
Europe,Germany,,Leipzig,"Augustusplatz 9, Leipzig, 04109","Augustusplatz 9, Leipzig, 04109, Leipzig, Germany","City-Hochhaus, 9, Augustusplatz, Zentrum, Mitte, Leipzig, Sachsen, 04109, Deutschland",51.3379592,12.379074
Europe,Germany,,Mannheim,"Hermsheimer Straße 3Eastsite VII, Mannheim, 68163","Hermsheimer Straße 3Eastsite VII, Mannheim, 68163, Mannheim, Germany",,,
Europe,Germany,,München,"Tegernseer Landstraße 161, München, 81539","Tegernseer Landstraße 161, München, 81539, München, Germany","161, Tegernseer Landstraße, Parkviertel Giesing, 17.1, Obergiesing-Fasangarten, München, Bayern, 81539, Deutschland",48.1097829,11.5791085
Europe,Germany,,Potsdam,"Puschkinallee 11, Potsdam, 14469","Puschkinallee 11, Potsdam, 14469, Potsdam, Germany","11, Puschkinallee, Nauener Vorstadt, Potsdam, Brandenburg, 14469, Deutschland",52.4125705,13.0597068
Europe,Germany,,Zweibrücken,"Straßburger Ring 21, Zweibrücken, 66482","Straßburger Ring 21, Zweibrücken, 66482, Zweibrücken, Germany","BauWerk, 21, Straßburger Ring, Gewerbegebiet Flugplatz Zweibrücken, Rimschweiler, Zweibrücken, Rheinland-Pfalz, 66482, Deutschland",49.2246988,7.3994346
Europe,Hungary,,Budapest,"Váci út 91/A,, Budapest, 1139","Váci út 91/A,, Budapest, 1139, Budapest, Hungary","Váci út, Göncz Árpád városközpont, XIII. kerület, Budapest, Közép-Magyarország, 1139, Magyarország",47.534935,19.0677518
Europe,Italy,Catania,Catania,"Via Museo Biscari, 16, Catania (CT), 95131","Via Museo Biscari, 16, Catania (CT), 95131, Catania, Italy","16, Via Museo Biscari, Civita, Centro storico, Catania, Sicilia, 95131, Italia",37.5022399,15.0909902
Europe,Italy,Milano,Lombardia – Milano (MI),"Via Bisceglie, 68 – Torre B, Milano, 20152","Via Bisceglie, 68 – Torre B, Milano, 20152, Lombardia – Milano (MI), Italy",,,
Europe,Italy,Milano,Milano,"Lombardia – Milano (MI), Piazza Filippo Meda, 3Sede legale, Milano, 20121","Lombardia – Milano (MI), Piazza Filippo Meda, 3Sede legale, Milano, 20121, Milano, Italy",,,
Europe,Italy,Padova,Veneto – Padova (PD),"Via Visco, 1, Limena, Padova, 35137","Via Visco, 1, Limena, Padova, 35137, Veneto – Padova (PD), Italy","Via Visco, Limena, Padova, Veneto, 35010, Italia",45.4690451,11.8537001
Europe,Italy,Roma,Lazio – Frascati (RM),"Via Enrico Fermi, 62, Frascati, 00044","Via Enrico Fermi, 62, Frascati, 00044, Lazio – Frascati (RM), Italy","Via Enrico Fermi, Frascati, Roma Capitale, Lazio, 00044, Italia",41.8253501,12.6692245
Europe,Latvia,,Riga,"Gunara Astras street 8B, Riga, LV-1082","Gunara Astras street 8B, Riga, LV-1082, Riga, Latvia",,,
Europe,Lithuania,,Business Leaders Center,"K. Donelaičio g. 60, Kaunas, 44248","K. Donelaičio g. 60, Kaunas, 44248, Business Leaders Center, Lithuania",,,
